Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Aruba	ABW	Exports of goods and services (annual % growth)	NE.EXP.GNFS.KD.ZG																																																												
Afghanistan	AFG	Exports of goods and services (annual % growth)	NE.EXP.GNFS.KD.ZG																																																												
Angola	AGO	Exports of goods and services (annual % growth)	NE.EXP.GNFS.KD.ZG																																										80.75298871	150.0078229	-1.3	13.09000001	22.92999998	14.29	16.56	10.62	-2.650518889	-2.378932172	-5.124101337	5.199864504	-1.173900758	0.704632329	-14.68932273	-18.39552462	24.54367675		
Albania	ALB	Exports of goods and services (annual % growth)	NE.EXP.GNFS.KD.ZG																																						-18.27611046	42.39914329	68.94462119	35.82536989	12.18520197	6.93556696	14.8249018	17.1284441	21.65560581	6.24963172	21.10745514	-0.739138039	10.07015856	19.19358086	6.674092063	0.293590867	1.58899377	1.152801814	0.969351442	11.34059856	12.94327233	3.196598209	
Andorra	AND	Exports of goods and services (annual % growth)	NE.EXP.GNFS.KD.ZG																																																												
Arab World	ARB	Exports of goods and services (annual % growth)	NE.EXP.GNFS.KD.ZG																																											-2.117522856	13.94201077	10.49969889	9.029496981	6.430588924	5.529030681	5.059874674	-6.562194225	7.281239231	6.648853688	10.66901587	1.077272264	-1.773931513	1.920498192	2.460436688	4.062242229	5.162014818	
United Arab Emirates	ARE	Exports of goods and services (annual % growth)	NE.EXP.GNFS.KD.ZG																																											3.150408737	22.91019613	24.54438458	11.48225537	11.53124467	8.8320654	12.43522458	-4.29925556	6.259810321	16.06622423	17.45398868	6.093496327	1.80209529	5.190751812	3.405078595	2.855566443	0.840712009	
Argentina	ARG	Exports of goods and services (annual % growth)	NE.EXP.GNFS.KD.ZG		-10.63859173	45.23846323	0	-8.196661333	8.928500262	16.39343134	0	-7.04215599	21.21207238	1.200104116	-9.930944205	2.029586087	13.97858999	0.235738442	-9.294158523	31.51765655	27.31777194	8.907269917	-3.200500136	-5.142862404	5.20390651	3.946552407	2.582605848	-2.591497771	15.55402385	-10.27034119	-3.481999171	18.71956561	7.430323721	18.01160325	-3.62414436	-1.029694439	3.983198679	15.29556898	22.52814469	7.646794889	12.17744082	10.62339306	-1.260277939	2.702391309	2.74099076	3.092955186	5.995368202	8.11415799	12.88683042	5.561203235	8.164451917	0.739874469	-9.347106431	13.89691362	4.148814784	-4.108311326	-3.520240343	-6.979167434	-2.77737294	5.317354108	1.717097783	-0.657475362	
Armenia	ARM	Exports of goods and services (annual % growth)	NE.EXP.GNFS.KD.ZG																																				-48.17575724	7.858054192	-6.880117014	-0.070105144	13.3430389	18.75948211	27.26303746	34.41957137	30.55543466	-2.504526885	16.28765383	-7.339083226	-3.508229852	-13.07998546	-10.43565536	26.49996999	14.89827663	9.135577355	8.6	6.399999997	4.9	19.1	18.7	2.900000002	
American Samoa	ASM	Exports of goods and services (annual % growth)	NE.EXP.GNFS.KD.ZG																																												-2.043269231	-16.3190184	5.131964809	-6.694560669	1.34529148	-0.442477876	-21.48148148	-15.8490566	-11.65919283	4.568527919	-0.485436893	4.390243902	7.476635514	-1.304347826	-21.58590308	14.3258427	
