Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Aruba	ABW	Final consumption expenditure (annual % growth)	NE.CON.TOTL.KD.ZG																																																												
Afghanistan	AFG	Final consumption expenditure (annual % growth)	NE.CON.TOTL.KD.ZG																																																												
Angola	AGO	Final consumption expenditure (annual % growth)	NE.CON.TOTL.KD.ZG																																										2.675322257	-0.275188861	6.885493966	3.389092265	6.012084864	7.465628571	6.777203449	9.51046621	3.869929971	4.244582938	15.18135892	6.88548492	12.22764051	3.915829056	-0.209660136	1.842463673	2.330867713		
Albania	ALB	Final consumption expenditure (annual % growth)	NE.CON.TOTL.KD.ZG																																						-17.45032712	18.36571958	23.05280763	8.490473145	7.235720903	10.49171734	13.5900803	5.736303046	6.911321466	8.838949566	14.77267259	13.54808505	4.687631409	1.899865593	1.631278753	0.125775167	1.967291616	3.247505321	0.898824561	2.437850872	2.252792258	2.65505234	
Andorra	AND	Final consumption expenditure (annual % growth)	NE.CON.TOTL.KD.ZG																																																												
Arab World	ARB	Final consumption expenditure (annual % growth)	NE.CON.TOTL.KD.ZG																																										3.369814364	2.926150151	3.451722277	6.618283594	5.217690246	8.708516321	7.894718184	8.329296581	-0.288016175	-0.968942536	6.666801088	5.205463528	5.687277117	6.061451435	0.26376135	-0.368938259	3.613068232	1.892132534	
United Arab Emirates	ARE	Final consumption expenditure (annual % growth)	NE.CON.TOTL.KD.ZG																																											5.993637551	2.384902208	9.379666001	1.509602635	12.81190512	10.9814033	11.90374421	-21.88907259	-23.3096757	11.16129204	-9.136260235	10.54306583	9.399304113	-15.42992021	0.913909241	6.042407088	-0.846280859	
Argentina	ARG	Final consumption expenditure (annual % growth)	NE.CON.TOTL.KD.ZG		9.710620934	-2.503629264	-2.854193999	10.56710104	8.643285806	-1.084579527	3.046136116	4.632510722	6.347019837	2.074607636	5.153758073	1.477665432	4.554259756	7.114518929	-0.020740271	-6.880842548	2.27309354	-1.110910834	13.53385849	6.383087877	-3.58395764	-4.578810493	4.236646347	4.158879881	-8.046082512	9.264310103	1.745767828	-4.128783889	-5.998671121	-1.590232275	14.7830201	13.20640141	4.546958109	5.149867317	-3.575988682	4.985947119	8.063113349	3.457164074	-1.298653426	-0.464965084	-5.157245884	-12.83059292	6.969158752	8.349126887	7.755403551	9.869803995	9.124878259	6.932277332	-3.87974976	10.32084249	8.674387481	1.374381593	3.876926322	-3.311805496	4.158068512	-0.740187841	3.7861384	-2.518753187	
Armenia	ARM	Final consumption expenditure (annual % growth)	NE.CON.TOTL.KD.ZG																																				7.676583077	2.579659647	6.561275038	3.885350704	0.825997297	7.711776112	6.789983617	7.857049769	7.766127408	9.100954784	10.1900202	8.954256425	12.19189164	4.545132781	-4.059418065	3.81533445	2.807109813	7.870462395	1.652790298	0.647704504	-6.199999999	-1.2	10.5	5.100000001	
American Samoa	ASM	Final consumption expenditure (annual % growth)	NE.CON.TOTL.KD.ZG																																																												
Antigua and Barbuda	ATG	Final consumption expenditure (annual % growth)	NE.CON.TOTL.KD.ZG																																																												
Australia	AUS	Final consumption expenditure (annual % growth)	NE.CON.TOTL.KD.ZG		2.449849005	2.729463879	5.223525682	6.385436284	5.681646526	4.164805517	5.156946827	5.742457978	4.913076342	6.387843322	4.138190764	3.744488276	4.359283505	5.483267958	5.730172887	2.483122079	4.189300058	2.214622271	1.91362143	1.896463985	3.546085536	4.59694224	2.4421145	1.915639326	2.382397019	4.555496688	2.365172736	3.323250427	4.217724175	3.906758196	1.498806516	2.38600614	2.033402045	1.888155367	4.170227644	3.591051196	2.739682878	4.738461898	5.449927795	3.97923601	2.83089988	3.092698112	3.782277977	4.89791768	4.242705303	3.219585495	4.902124384	4.473277153	1.410620239	2.883874052	3.843836369	3.139764662	1.402931251	2.219915849	2.364045603	3.11098891	2.939650595	3.105764328	
