Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Aruba	ABW	Gross capital formation (annual % growth)	NE.GDI.TOTL.KD.ZG																																																												
Afghanistan	AFG	Gross capital formation (annual % growth)	NE.GDI.TOTL.KD.ZG																																																												
Angola	AGO	Gross capital formation (annual % growth)	NE.GDI.TOTL.KD.ZG																																										115.0312925	6.98867368	13.96599999	17.14000001	12.19600001	4.239999997	12.13	26.4350907	3.66622755	-9.053843305	10.5611768	7.166198249	1.646424292	3.451684152	-1.906823974	-19.5369242	3.00000001		
Albania	ALB	Gross capital formation (annual % growth)	NE.GDI.TOTL.KD.ZG																																																		1.286235299	-7.497042582	6.257295705	-7.911674929	-1.77970312	-5.580185562	3.195939509	0.359470714	4.06871594		
Andorra	AND	Gross capital formation (annual % growth)	NE.GDI.TOTL.KD.ZG																																																												
Arab World	ARB	Gross capital formation (annual % growth)	NE.GDI.TOTL.KD.ZG																																										1.738701486	11.53992967	5.168638647	12.54262201	10.36903796	20.30628061	23.73031193	15.19757046	1.456741711	2.562212086	4.360398866	3.642585329	3.76895358	7.166461668	8.450378047	-0.502834654	-1.445948752	-1.062983417	
United Arab Emirates	ARE	Gross capital formation (annual % growth)	NE.GDI.TOTL.KD.ZG																																											5.562595402	6.903591548	2.889154815	18.2238933	14.85883697	39.43635533	0.02440194	8.93776501	-9.294240397	-1.500044674	-1.015365799	-1.382842795	22.5857603	13.83304336	4.047390626	-9.798403843	-3.996249096	
Argentina	ARG	Gross capital formation (annual % growth)	NE.GDI.TOTL.KD.ZG		9.677371587	-8.823489702	-17.74200933	28.43137606	3.81683904	-3.6764047	3.817114198	8.823648508	22.97304156	2.23076104	10.93183128	1.017185369	-4.700043209	1.1072531	1.792058461	6.943386029	20.89644443	-15.92291477	10.21156122	8.107009618	-14.97593807	-19.94288419	0.399509091	-4.134388605	-14.10471188	11.04077665	12.93591996	-3.519730869	-21.60156015	-16.85008917	29.94167856	32.64346653	14.36393421	12.63552741	-12.63544372	13.10324684	16.59276688	4.899377181	-16.92166901	-3.807910122	-11.93354813	-37.59448849	40.19152836	29.61340872	14.79633156	6.86650709	20.33006024	6.683445417	-23.07154382	32.54212125	16.09273993	-11.18506718	4.669025524	-6.223530585	4.556709021	-5.083992419	15.89932371	-7.037766806	
Armenia	ARM	Gross capital formation (annual % growth)	NE.GDI.TOTL.KD.ZG																																				-10.96177586	2.90610432	15.05795944	-2.017107918	-2.885365135	-10.69015326	-1.01410675	37.02700868	49.2504816	5.352040192	25.34204483	32.5436599	28.98270982	23.1390555	-38.67537972	-3.035164767	-8.012855117	-11.52684028	-9.1	-3.000000002	-1.199999998	-8.699999999	15.39999999	26.8	
American Samoa	ASM	Gross capital formation (annual % growth)	NE.GDI.TOTL.KD.ZG																																																												
