Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Aruba	ABW	Imports of goods and services (annual % growth)	NE.IMP.GNFS.KD.ZG																																																												
Afghanistan	AFG	Imports of goods and services (annual % growth)	NE.IMP.GNFS.KD.ZG																																																												
Angola	AGO	Imports of goods and services (annual % growth)	NE.IMP.GNFS.KD.ZG																																										156.3727416	108.6844035	9.69	7.129999995	11.95	6.349999998	7.600000006	18.17	-0.474434607	-11.73823808	10.95004181	-0.089458105	4.378649596	-5.158482266	-23.91032123	-24.73890109	11.23310032		
Albania	ALB	Imports of goods and services (annual % growth)	NE.IMP.GNFS.KD.ZG																																						-8.690611075	36.69688651	17.29975735	39.148398	10.4185509	11.64265334	9.286120746	10.89846873	13.46546815	8.882376815	22.17298399	7.567202717	1.331347233	-0.572952665	6.186269627	-6.694146634	-0.643626627	4.25879004	-2.875203941	6.920120248	8.0642502	3.870477155	
Andorra	AND	Imports of goods and services (annual % growth)	NE.IMP.GNFS.KD.ZG																																																												
Arab World	ARB	Imports of goods and services (annual % growth)	NE.IMP.GNFS.KD.ZG																																											6.222865278	11.6002634	19.26933963	16.24072835	16.96482343	24.51165642	15.90868028	-8.301773633	-2.495335964	7.643911439	11.45350168	6.75768822	4.770914701	-2.569405874	-4.763360237	6.8953697	1.654880945	
United Arab Emirates	ARE	Imports of goods and services (annual % growth)	NE.IMP.GNFS.KD.ZG																																											12.93833318	15.98871913	29.73793886	14.93464501	18.19529211	34.46050775	21.39811034	-15.65429523	-20.38332005	19.00753521	8.564251634	8.026163216	9.864791769	-5.721824978	2.653022393	2.952892449	-3.200068651	
Argentina	ARG	Imports of goods and services (annual % growth)	NE.IMP.GNFS.KD.ZG		18.17689285	0	-23.08339691	20.01239287	0	-8.331144355	0	9.088304088	24.99359768	-18.84380878	11.91372978	-4.869764927	-1.309537309	5.428297733	1.830505856	-21.01109219	37.12672186	-5.186910388	54.59448436	46.35622932	-8.23892425	-42.5799727	-6.923725725	4.705111378	-13.03792965	17.86744214	11.48516769	-9.208045176	-16.51668796	-1.899916979	80.05569905	65.68396139	14.80660913	21.13103335	-9.806630116	17.52909091	26.87155311	8.413928637	-11.26676921	-0.157568635	-13.94658207	-50.05955393	37.56537155	40.12178003	15.84823189	10.99186291	19.6402843	13.56218699	-18.41643939	35.20441734	22.02861658	-4.728263216	3.882880978	-11.47999491	4.711318807	5.824163031	15.35619874	-4.733148387	
Armenia	ARM	Imports of goods and services (annual % growth)	NE.IMP.GNFS.KD.ZG																																				-29.2770162	-0.423170851	11.91121501	-5.178774926	-1.700872518	7.023259093	6.868041197	18.24892289	27.40846505	-3.268826903	14.15682581	3.760967253	12.99479056	7.278112444	-19.15362406	12.80000405	-2.299967809	-2.732459203	-2.1	-1.000000002	-15.1	7.600000002	24.6	12.8	
American Samoa	ASM	Imports of goods and services (annual % growth)	NE.IMP.GNFS.KD.ZG																																												-0.640204866	-13.01546392	0.148148148	-3.846153846	-3.692307692	2.076677316	-12.98904538	-11.15107914	-6.882591093	4.130434783	3.131524008	11.13360324	4.735883424	-2.956521739	-12.54480287	-1.844262295	
