Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Aruba	ABW	"Industry (including construction), value added (annual % growth)"	NV.IND.TOTL.KD.ZG																																																												
Afghanistan	AFG	"Industry (including construction), value added (annual % growth)"	NV.IND.TOTL.KD.ZG																																												10.26969289	17.47607596	12.9917235	13.66754349	7.633126229	5.741817818	6.107141199	6.270601364	9.807670426	6.394070954	5.060990731	2.765780484	4.171121337	-0.765914445	0.417123194	1.444251243	
Angola	AGO	"Industry (including construction), value added (annual % growth)"	NV.IND.TOTL.KD.ZG																																												-0.086642408	14.80095444	20.49593151	13.19335073	19.79890087	9.566770776	-3.897418968	2.530077367	-1.413861751	10.6852088	3.199417421	-1.619390317	7.493698753	1.010274187	-1.648258575		
Albania	ALB	"Industry (including construction), value added (annual % growth)"	NV.IND.TOTL.KD.ZG																						1.045895975	4.863931542	-0.049222746	0.344759116	0.161396507	7.832884489	2.803632915	-0.343891321	6.278111723	-5.990784107	-40.19107589	-41.25936509	2.470839894	4.717601265	12.59992895	35.01614527	-16.71510905	16.37415663	19.9316941	22.76546215	19.98239049	6.808181559	15.53711529	8.495317104	8.144869077	10.08700506	5.033147599	5.056069341	1.848899054	4.26034581	2.264506713	-6.150923172	2.490167473	-3.361835757	2.582731212	1.904180075	1.899996471	9.120751521	
Andorra	AND	"Industry (including construction), value added (annual % growth)"	NV.IND.TOTL.KD.ZG																																																												
Arab World	ARB	"Industry (including construction), value added (annual % growth)"	NV.IND.TOTL.KD.ZG																																									5.999987927	0.045129295	-3.219122203	4.491414114	9.197358517	4.004635987	4.657191812	1.288416552	4.844294115	-3.455591424	3.534557851	7.485351656	5.357299776	1.430354796	2.433166018	3.672785335	4.599961664	-1.555055877	1.610812808	
United Arab Emirates	ARE	"Industry (including construction), value added (annual % growth)"	NV.IND.TOTL.KD.ZG																																											-3.6981729	7.091538722	9.359792288	3.828416604	13.81931343	-2.682031476	2.573258143	-6.512338397	2.503402798	8.477177641	3.45989056	3.018931897	1.62481888	5.576633083	2.322810448	-1.064901169	1.980805091	
Argentina	ARG	"Industry (including construction), value added (annual % growth)"	NV.IND.TOTL.KD.ZG							1.109731688	4.231080069	9.474208411	11.5461698	-0.930250743	6.329266011	3.123893826	0.805741918	6.037503261	-1.09100757	0.555648944	8.629089876	-8.334899044	7.541405248	-1.288950459	-10.66333427	-3.20938122	5.377687815	0.674286433	-8.651011895	8.63026418	3.356776926	-3.55197618	-8.588761141	-5.325307987	10.68745987	11.01675292	5.470297026	6.206351238	-3.551436932	6.193445871	8.371139609	1.946101648	-6.622489521	-2.195351962	-5.191488588	-11.35637722	14.16136073	10.81533519	6.534384086	8.664922353	6.033347427	3.072042814	-6.433340906	8.80489749	5.830917839	-2.201126631	0.551194177	-3.462035016	1.389808314	-5.825158741	2.463527072	-3.134002656	
Armenia	ARM	"Industry (including construction), value added (annual % growth)"	NV.IND.TOTL.KD.ZG																																-15.95981562	-72.95262996	0.684444568	8.731405886	0.781348684	5.980531159	1.922897507	0.902494524	6.014421578	23.72355656	5.155130233	21.33756254	24.73102339	7.383981837	14.79745802	16.56743672	11.26100495	7.433431554	-28.55277013	7.419340985	1.768216578	4.991546201	0.513245768	-2.106900969	3.413015781	0.336493348	10.267193	3.154273231	
American Samoa	ASM	"Industry (including construction), value added (annual % growth)"	NV.IND.TOTL.KD.ZG																																																												
