Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Aruba	ABW	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																																												
Afghanistan	AFG	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																												11.55182287	12.7878433	5.38826741	6.731003557	19.68114685	14.85444913	17.9833821	18.35540542	9.790685862	13.65733974	7.826551964	4.530153947	2.135107789	1.979482697	2.497487264	3.506599355	
Angola	AGO	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																												5.171442644	7.482411117	8.611948316	8.617833319	5.602910053	12.91811405	8.968238726	6.642326089	10.52280185	5.662101366	7.740442741	10.07665749	-4.837994102	-5.243185052	1.480988462		
Albania	ALB	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																						12.04538247	2.387656316	-1.430200483	-1.167121803	0.936353418	4.667238443	-2.823325618	0.145109017	11.87602123	-29.29660735	-14.14683151	4.369044469	15.54517489	16.62057481	-3.797817441	2.218846469	-1.065079765	4.041500722	22.07651047	0.805397791	7.127533513	3.231759341	0.943239429	6.316343386	9.843443525	5.295191529	8.719409877	4.913048078	7.161130738	2.547398291	3.034796351	3.195361962	0.307894095	4.931825872	2.763439425	4.242355927	6.050097106	3.495322001	
Andorra	AND	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																																												
Arab World	ARB	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																										7.512442455	4.818321768	5.796397964	8.294159802	7.334752581	6.745195915	10.03535934	6.441255564	3.979965277	5.712532006	5.06896377	5.177212313	5.898321646	3.757097362	2.984558037	2.332420461	2.332341065	2.744899296	
United Arab Emirates	ARE	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																											11.58549449	10.73038635	9.906861253	7.726582142	4.989945698	13.07273542	4.050683534	-2.727604008	1.487806319	5.215183953	5.709921959	7.435785238	7.246719471	4.672453677	3.824408141	2.049356239	1.400353882	
Argentina	ARG	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG							-1.528094858	2.54109364	1.840477981	8.827984912	10.58888755	4.949535955	0.652333017	3.811232524	5.260517526	0.977642728	-3.401488788	6.046758015	-1.788927365	11.04033574	8.428728218	-2.313216866	-0.650503347	3.857191673	2.013124401	-3.839809965	5.136308399	3.022417817	-0.375607405	-5.537751664	-1.710036307	9.388580276	6.941984111	7.289319434	6.389031541	-2.344851734	5.677332311	7.875056707	4.701107651	-1.942936594	0.343091493	-4.34830177	-9.715289924	4.245832101	6.87726661	9.100513306	8.505427581	9.088671963	5.129031423	-2.054639568	7.089823509	6.444826911	0.668753019	1.909762038	-1.644377543	2.660138013	-0.008736041	2.297075018	-0.579234087	
Armenia	ARM	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																0.769695825	57.73399438	-22.68866053	7.145310964	15.67376112	5.479763569	4.849786842	4.505515741	4.341650959	-6.134590714	9.946401701	16.3886017	12.57606506	12.88975045	16.49538497	22.16385889	10.75029722	5.335011144	-6.836173044	8.522912733	-1.739661797	5.357977219	2.749980302	6.790326729	0.97893033	3.839551144	11.12790772	9.597549648	
American Samoa	ASM	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																																												
